_line,_fivetran_synced,order_id,order_date,hour,category,item_name,price,quantity,discount,total_amount,branch,payment_method,order_type,customer_id,rating,is_weekend
0,2026-04-13T20:12:46.475Z,1,2025-03-12,20,طواجن,طاجن بامية,136.35,3,0,409.06,المنصورة,Wallet,Dine-in,187346,4,0
1,2026-04-13T20:12:46.475Z,2,2023-07-29,13,طواجن,طاجن ملوخية,97.63,6,0.1,527.22,أسيوط,Cash,Takeaway,48735,3,1
2,2026-04-13T20:12:46.475Z,3,2023-10-27,20,مشروبات,عصير مانجو,18.56,3,0,55.67,القاهرة,Cash,Takeaway,135936,5,1
3,2026-04-13T20:12:46.475Z,4,2021-01-10,11,مشروبات,عصير مانجو,32.9,3,0,98.7,المنصورة,Wallet,Dine-in,149536,3,1
4,2026-04-13T20:12:46.475Z,5,2020-03-15,19,مقبلات,طحينة,42.82,5,0.1,192.7,القاهرة,Cash,Delivery,182456,4,1
5,2026-04-13T20:12:46.475Z,6,2021-08-27,14,مشروبات,عصير مانجو,50.77,4,0.1,182.77,الجيزة,Cash,Dine-in,73667,4,1
6,2026-04-13T20:12:46.475Z,7,2022-01-13,18,مقبلات,سلطة بلدي,61.45,1,0,61.45,أسيوط,Card,Takeaway,68142,3,0
7,2026-04-13T20:12:46.475Z,8,2024-06-05,23,مقبلات,بابا غنوج,54.79,2,0,109.58,القاهرة,Card,Dine-in,18478,3,0
8,2026-04-13T20:12:46.475Z,9,2020-11-12,17,مقبلات,طحينة,59.73,3,0,179.18,المنصورة,Card,Delivery,189360,3,0
9,2026-04-13T20:12:46.475Z,10,2022-03-28,19,محاشي,محشي ورق عنب,103.66,5,0.1,466.48,المنصورة,Cash,Dine-in,17615,3,0
10,2026-04-13T20:12:46.475Z,11,2025-01-24,18,محاشي,محشي كوسة,69.01,4,0.1,248.45,طنطا,Cash,Delivery,171366,4,1
11,2026-04-13T20:12:46.475Z,12,2024-10-30,12,طواجن,طاجن ملوخية,103.2,1,0,103.2,الإسكندرية,Cash,Delivery,162610,5,0
12,2026-04-13T20:12:46.475Z,13,2023-03-23,12,مشويات,كفتة,128.96,4,0.1,464.25,طنطا,Card,Delivery,168557,3,0
13,2026-04-13T20:12:46.475Z,14,2022-09-11,21,طواجن,طاجن ملوخية,112.57,3,0,337.7,القاهرة,Wallet,Delivery,55016,4,1
14,2026-04-13T20:12:46.475Z,15,2021-09-12,16,مشويات,كباب,140.36,3,0,421.07,الإسكندرية,Wallet,Delivery,49937,4,1
15,2026-04-13T20:12:46.475Z,16,2021-11-12,14,مشويات,شيش طاووق,140.04,5,0.1,630.17,الإسكندرية,Cash,Takeaway,51408,3,1
16,2026-04-13T20:12:46.475Z,17,2024-05-15,19,محاشي,محشي كوسة,65.56,5,0.1,295.03,القاهرة,Wallet,Dine-in,59995,3,0
17,2026-04-13T20:12:46.475Z,18,2025-03-30,21,مشروبات,شاي,65.16,3,0,195.49,أسيوط,Cash,Takeaway,97995,3,1
18,2026-04-13T20:12:46.475Z,19,2025-01-08,16,محاشي,محشي كوسة,91.3,5,0.1,410.84,القاهرة,Card,Delivery,37957,4,0
19,2026-04-13T20:12:46.475Z,20,2025-06-23,20,مشويات,كفتة,123.13,2,0,246.27,القاهرة,Card,Dine-in,77879,5,0
20,2026-04-13T20:12:46.475Z,21,2024-09-12,19,مشويات,كباب,134,2,0,268.01,القاهرة,Cash,Delivery,13025,4,0
21,2026-04-13T20:12:46.475Z,22,2022-05-08,23,طواجن,طاجن ملوخية,108.48,3,0,325.43,الإسكندرية,Cash,Dine-in,47159,4,1
22,2026-04-13T20:12:46.475Z,23,2022-01-17,11,مشروبات,عصير مانجو,22.22,2,0,44.45,المنصورة,Card,Dine-in,119017,4,0
23,2026-04-13T20:12:46.475Z,24,2023-01-30,18,مقبلات,طحينة,48.93,1,0,48.93,الإسكندرية,Cash,Delivery,88712,3,0
24,2026-04-13T20:12:46.475Z,25,2022-03-18,14,مشويات,كباب,145.92,3,0,437.77,الجيزة,Card,Dine-in,179311,4,1
25,2026-04-13T20:12:46.475Z,26,2023-05-28,21,محاشي,محشي كوسة,86.63,7,0.1,545.76,الإسكندرية,Card,Dine-in,116743,3,1
26,2026-04-13T20:12:46.475Z,27,2020-02-03,22,طواجن,طاجن ملوخية,101.4,2,0,202.81,القاهرة,Wallet,Takeaway,34306,4,0
27,2026-04-13T20:12:46.475Z,28,2023-11-28,10,طواجن,طاجن ملوخية,104.14,1,0,104.14,أسيوط,Card,Dine-in,143566,3,0
28,2026-04-13T20:12:46.475Z,29,2020-06-15,19,مقبلات,طحينة,38.44,3,0,115.32,الجيزة,Cash,Dine-in,186590,3,0
29,2026-04-13T20:12:46.475Z,30,2023-07-13,15,مشويات,شيش طاووق,177.68,2,0,355.36,الإسكندرية,Cash,Delivery,174345,4,0
30,2026-04-13T20:12:46.475Z,31,2021-05-14,23,مشروبات,عصير مانجو,40.54,3,0,121.62,القاهرة,Cash,Dine-in,23771,5,1
31,2026-04-13T20:12:46.475Z,32,2023-11-27,13,محاشي,محشي كوسة,36.34,4,0.1,130.83,الإسكندرية,Card,Delivery,94938,3,0
32,2026-04-13T20:12:46.475Z,33,2022-11-07,13,مشروبات,شاي,47.92,8,0.1,345.03,الإسكندرية,Card,Takeaway,193710,4,0
33,2026-04-13T20:12:46.475Z,34,2021-03-05,14,طواجن,طاجن ملوخية,118.23,3,0,354.68,القاهرة,Card,Dine-in,196915,4,1
34,2026-04-13T20:12:46.475Z,35,2022-05-16,20,مشويات,كفتة,175.2,3,0,525.6,الإسكندرية,Cash,Delivery,83420,4,0
35,2026-04-13T20:12:46.475Z,36,2024-08-17,15,مقبلات,سلطة بلدي,43.95,4,0.1,158.21,القاهرة,Wallet,Takeaway,113954,4,1
36,2026-04-13T20:12:46.475Z,37,2024-03-31,16,مشروبات,عصير قصب,17.73,4,0.1,63.84,القاهرة,Cash,Takeaway,85877,4,1
37,2026-04-13T20:12:46.475Z,38,2021-07-18,12,محاشي,محشي كوسة,71.99,2,0,143.97,الجيزة,Card,Takeaway,165575,4,1
38,2026-04-13T20:12:46.475Z,39,2020-06-24,14,محاشي,محشي ورق عنب,79.27,3,0,237.8,القاهرة,Wallet,Dine-in,189204,4,0
39,2026-04-13T20:12:46.475Z,40,2023-05-04,20,مقبلات,سلطة بلدي,34.1,3,0,102.29,القاهرة,Cash,Delivery,102867,4,0
40,2026-04-13T20:12:46.475Z,41,2021-12-15,11,طواجن,طاجن فراخ,144.26,5,0.1,649.18,طنطا,Card,Dine-in,122687,4,0
41,2026-04-13T20:12:46.475Z,42,2022-10-25,18,مشويات,كباب,131.73,2,0,263.45,الإسكندرية,Cash,Dine-in,193496,3,0
42,2026-04-13T20:12:46.475Z,43,2022-03-11,17,مشروبات,عصير مانجو,-6.52,3,0,-19.56,الإسكندرية,Cash,Takeaway,111144,5,1
43,2026-04-13T20:12:46.475Z,44,2022-03-12,12,مشروبات,عصير مانجو,12.23,3,0,36.7,أسيوط,Cash,Takeaway,131078,2,1
